2024-07-19 15:06:44,783 INFO    StreamThr :69147 [internal.py:wandb_internal():85] W&B internal server running at pid: 69147, started at: 2024-07-19 15:06:44.782471
2024-07-19 15:06:44,784 DEBUG   HandlerThread:69147 [handler.py:handle_request():158] handle_request: status
2024-07-19 15:06:44,786 INFO    WriterThread:69147 [datastore.py:open_for_write():87] open: /Users/minjunes/vlm/wandb/run-20240719_150644-3cka9p4y/run-3cka9p4y.wandb
2024-07-19 15:06:44,787 DEBUG   SenderThread:69147 [sender.py:send():379] send: header
2024-07-19 15:06:44,808 DEBUG   SenderThread:69147 [sender.py:send():379] send: run
2024-07-19 15:06:45,196 INFO    SenderThread:69147 [dir_watcher.py:__init__():211] watching files in: /Users/minjunes/vlm/wandb/run-20240719_150644-3cka9p4y/files
2024-07-19 15:06:45,196 INFO    SenderThread:69147 [sender.py:_start_run_threads():1188] run started: 3cka9p4y with start time 1721426804.782168
2024-07-19 15:06:45,206 DEBUG   HandlerThread:69147 [handler.py:handle_request():158] handle_request: check_version
2024-07-19 15:06:45,206 DEBUG   SenderThread:69147 [sender.py:send_request():406] send_request: check_version
2024-07-19 15:06:45,356 DEBUG   HandlerThread:69147 [handler.py:handle_request():158] handle_request: run_start
2024-07-19 15:06:45,365 DEBUG   HandlerThread:69147 [system_info.py:__init__():26] System info init
2024-07-19 15:06:45,365 DEBUG   HandlerThread:69147 [system_info.py:__init__():41] System info init done
2024-07-19 15:06:45,365 INFO    HandlerThread:69147 [system_monitor.py:start():194] Starting system monitor
2024-07-19 15:06:45,366 INFO    SystemMonitor:69147 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-19 15:06:45,366 INFO    HandlerThread:69147 [system_monitor.py:probe():214] Collecting system info
2024-07-19 15:06:45,366 INFO    SystemMonitor:69147 [interfaces.py:start():188] Started cpu monitoring
2024-07-19 15:06:45,371 INFO    SystemMonitor:69147 [interfaces.py:start():188] Started disk monitoring
2024-07-19 15:06:45,373 INFO    SystemMonitor:69147 [interfaces.py:start():188] Started gpuapple monitoring
2024-07-19 15:06:45,374 INFO    SystemMonitor:69147 [interfaces.py:start():188] Started memory monitoring
2024-07-19 15:06:45,374 INFO    SystemMonitor:69147 [interfaces.py:start():188] Started network monitoring
